PROFILE_CODE,SPECIES_ID,WEIGHT_PERCENT
2402,167,0.37
2402,172,0.16
2402,173,0.24
2402,281,3.21
2402,310,2
2402,331,0.08
2402,395,0.2
2402,396,1.35
2402,434,13.89
2402,440,1.42
2402,442,2.28
2402,455,0.16
2402,493,3.64
2402,507,25.68
2402,513,4.57
2402,534,0.08
2402,536,11.6
2402,539,3.09
2402,593,5.31
2402,674,1.11
2402,682,0.2
2402,684,0.41
2402,692,1.36
2402,717,12.96
2402,2137,0.2
2402,2215,0.28
2402,2278,3.02
2402,2283,1.13
95820,1,0.00012
95820,12,0.018633
95820,13,0.018432
95820,23,0.010058
95820,25,0.017631
95820,30,0.038567
95820,31,0.037165
95820,36,0.000874
95820,40,0.032056
95820,51,0.002895
95820,59,0.001743
95820,64,0.047182
95820,160,0.021237
95820,161,0.04007
95820,192,0.02314
95820,193,0.061006
95820,194,0.035963
95820,196,0.009256
95820,243,0.021437
95820,244,0.038567
95820,263,0.018332
95820,264,0.016829
95820,266,0.026246
95820,272,0.017631
95820,281,0.215376
95820,302,0.000594
95820,312,0.01693
95820,318,0.015026
95820,320,0.010318
95820,352,0.06862
95820,356,0.019234
95820,390,0.002294
95820,401,0.015527
95820,442,0.134234
95820,447,0.030754
95820,450,0.028149
95820,491,0.425743
95820,513,0.000482
95820,524,0.031255
95820,531,0.074029
95820,532,0.024042
95820,539,0.001553
95820,545,0.02294
95820,550,0.293312
95820,592,0.098572
95820,593,0.031856
95820,596,0.001713
95820,598,3.015263
95820,599,11.920808
95820,600,0.30353
95820,601,0.004628
95820,603,0.682191
95820,604,0.952663
95820,605,0.002294
95820,609,2.023532
95820,610,14.22483
95820,611,0.001693
95820,655,0.007854
95820,671,0.015627
95820,678,0.070824
95820,717,0.116806
95820,720,0.018733
95820,721,0.033759
95820,722,0.017631
95820,726,0.023241
95820,729,0.023741
95820,1043,0.004037
95820,1045,0.034761
95820,1049,0.071525
95820,1051,0.032857
95820,1934,8.094128
95820,1936,0.00545
95820,1938,0.041072
95820,1941,0.062008
95820,2157,0.002134
95820,2170,0.077435
95820,2186,0.004628
95820,3121,0.04017
95820,3129,0.008765
95820,3196,0.267467
95820,3197,5.830177
95820,3198,16.929551
95820,3199,0.03456
95820,3200,0.000668
95820,3201,0.004678
95820,3202,0.002244
95820,3203,0.523915
95820,3204,0.89957
95820,3205,0.002144
95820,3206,0.022339
95820,3207,0.005129
95820,3208,0.049486
95820,3209,0.020083
95820,3210,0.003536
95820,3211,0.107187
95820,3212,0.051891
95820,3213,0.000436
95820,3214,0.001222
95820,3215,0.012722
95820,3216,0.014425
95820,3226,2.865001
95820,3227,14.124655
95820,3228,11.920808
