MECHANISM,SPECIATE_ID,SPECIES,MOLES
CB6R3_AE7,1,PAR,3
CB6R3_AE7,1,TOL,1
CB6R3_AE7,2,PAR,11
CB6R3_AE7,3,PAR,3
CB6R3_AE7,3,TOL,1
CB6R3_AE7,4,UNR,2
CB6R3_AE7,5,UNR,2
CB6R3_AE7,6,PAR,9
CB6R3_AE7,6,UNR,1
CB6R3_AE7,7,UNR,2
CB6R3_AE7,8,PAR,8
CB6R3_AE7,8,UNR,1
CB6R3_AE7,9,PAR,7
CB6R3_AE7,9,UNR,1
CB6R3_AE7,10,PAR,9
CB6R3_AE7,10,UNR,1
CB6R3_AE7,11,PAR,9
CB6R3_AE7,11,UNR,1
CB6R3_AE7,12,PAR,8
CB6R3_AE7,12,UNR,1
CB6R3_AE7,13,PAR,7
CB6R3_AE7,13,UNR,1
CB6R3_AE7,14,PAR,8
CB6R3_AE7,14,UNR,1
CB6R3_AE7,15,PAR,1
CB6R3_AE7,15,UNR,1
CB6R3_AE7,16,UNR,2
CB6R3_AE7,17,PAR,2
CB6R3_AE7,18,IVOC,1
CB6R3_AE7,19,PAR,7
CB6R3_AE7,19,UNR,1
CB6R3_AE7,20,PAR,6
CB6R3_AE7,20,UNR,1
CB6R3_AE7,21,PAR,7
CB6R3_AE7,21,UNR,1
CB6R3_AE7,22,IVOC,1
CB6R3_AE7,23,IVOC,1
CB6R3_AE7,24,IVOC,1
CB6R3_AE7,25,PAR,1
CB6R3_AE7,25,XYLMN,1
CB6R3_AE7,26,PAR,9
CB6R3_AE7,27,PAR,8
CB6R3_AE7,28,IVOC,1
CB6R3_AE7,29,IVOC,1
CB6R3_AE7,30,PAR,1
CB6R3_AE7,30,XYLMN,1
CB6R3_AE7,31,PAR,8
CB6R3_AE7,32,OLE,1
CB6R3_AE7,32,PAR,6
CB6R3_AE7,33,IOLE,1
CB6R3_AE7,34,PAR,1
CB6R3_AE7,34,UNR,2
CB6R3_AE7,35,PAR,10
CB6R3_AE7,35,UNR,1
CB6R3_AE7,36,PAR,2
CB6R3_AE7,36,XYLMN,1
CB6R3_AE7,37,PAR,2
CB6R3_AE7,37,XYLMN,1
CB6R3_AE7,38,PAR,10
CB6R3_AE7,39,PAR,2
CB6R3_AE7,39,XYLMN,1
CB6R3_AE7,40,PAR,7
CB6R3_AE7,41,PAR,4
CB6R3_AE7,42,IOLE,0.75
CB6R3_AE7,43,IVOC,1
CB6R3_AE7,44,PAR,1
CB6R3_AE7,44,XYLMN,1
CB6R3_AE7,45,PAR,9
CB6R3_AE7,46,IOLE,1
CB6R3_AE7,47,OLE,1
CB6R3_AE7,47,PAR,2
CB6R3_AE7,48,IOLE,1
CB6R3_AE7,48,PAR,1
CB6R3_AE7,49,PAR,1
CB6R3_AE7,49,UNR,5
CB6R3_AE7,50,PAR,1
CB6R3_AE7,50,UNR,2
CB6R3_AE7,51,PAR,2
CB6R3_AE7,51,XYLMN,1
CB6R3_AE7,52,PAR,2
CB6R3_AE7,52,XYLMN,1
CB6R3_AE7,53,PAR,2
CB6R3_AE7,53,XYLMN,1
CB6R3_AE7,54,PAR,3
CB6R3_AE7,54,XYLMN,1
CB6R3_AE7,55,PAR,2
CB6R3_AE7,55,XYLMN,1
CB6R3_AE7,56,PAR,3
CB6R3_AE7,57,IVOC,1
CB6R3_AE7,58,IVOC,1
CB6R3_AE7,59,PAR,2
CB6R3_AE7,59,XYLMN,1
