MECHANISM,SPECIES,MOLWGHT
CB6R3_AE7,AACD,60
CB6R3_AE7,ACET,58.1
CB6R3_AE7,ACRO_PRIMARY,56.1
CB6R3_AE7,ACROLEIN,56.1
CB6R3_AE7,ALD2,44
CB6R3_AE7,ALD2_PRIMARY,44
CB6R3_AE7,ALDX,58.1
CB6R3_AE7,APIN,136.2
CB6R3_AE7,BENZ,78.1
CB6R3_AE7,BENZENE,78.1
CB6R3_AE7,BENZRO2,127
CB6R3_AE7,BUTADIENE13,54
CB6R3_AE7,BZO2,159.1
CB6R3_AE7,C2O3,75
CB6R3_AE7,CAT1,124.1
CB6R3_AE7,CH4,16.04
CB6R3_AE7,CL,35.5
CB6R3_AE7,CL2,71
CB6R3_AE7,CLNO2,81.5
CB6R3_AE7,CLNO3,97.5
CB6R3_AE7,CLO,51.5
CB6R3_AE7,CO,28
CB6R3_AE7,CRES,108.1
CB6R3_AE7,CRO,107.1
CB6R3_AE7,CRON,153.1
CB6R3_AE7,CXO3,89
CB6R3_AE7,ECH4,16
CB6R3_AE7,EPOX,118.1
CB6R3_AE7,EPX2,149.1
CB6R3_AE7,ETH,28
CB6R3_AE7,ETHA,30.1
CB6R3_AE7,ETHY,26
CB6R3_AE7,ETOH,46.1
CB6R3_AE7,FACD,46
CB6R3_AE7,FMCL,64.5
CB6R3_AE7,FORM,30
CB6R3_AE7,FORM_PRIMARY,30
CB6R3_AE7,GLY,58
CB6R3_AE7,GLYD,60
CB6R3_AE7,H2NO3PIJ,64
CB6R3_AE7,H2NO3PK,64
CB6R3_AE7,H2O2,34
CB6R3_AE7,HCL,36.5
CB6R3_AE7,HCO3,63
CB6R3_AE7,HG,200.6
CB6R3_AE7,HGIIAER,200.6
CB6R3_AE7,HGIIGAS,271.5
CB6R3_AE7,HNO3,63
CB6R3_AE7,HO2,33
CB6R3_AE7,HOCL,52.5
CB6R3_AE7,HONO,47
CB6R3_AE7,HPLD,116.1
CB6R3_AE7,IEPOXP,118.1
CB6R3_AE7,INTR,147.1
CB6R3_AE7,IOLE,56.1
CB6R3_AE7,ISO2,117.1
CB6R3_AE7,ISOP,68.1
CB6R3_AE7,ISOPRXN,68.1
CB6R3_AE7,ISPD,70.1
CB6R3_AE7,ISPX,118.1
CB6R3_AE7,IVOC,56
CB6R3_AE7,KET,72.1
CB6R3_AE7,MEO2,47
